,protein,ligand1,ligand2,ATM_ddG,error,exp_ddG,MAE
33,JNK1,m37,m31,0.32,0.24,0.73,0.41
34,JNK1,m38,m34,-0.06,0.24,0.1,0.16
35,TYK2,m01,m04,-2.27,0.25,-1.77,0.5
36,TYK2,m01,m06,1.36,0.22,1.28,0.07
37,TYK2,m01,m07,-1.33,0.22,-1.44,0.11
38,TYK2,m01,m09,0.17,0.23,-0.02,0.19
39,TYK2,m01,m12,-0.56,0.24,0.54,1.1
40,TYK2,m03,m15,-0.37,0.22,-0.8,0.43
41,TYK2,m05,m16,-0.55,0.22,-1.32,0.77
42,TYK2,m06,m05,-0.33,0.23,-0.95,0.62
43,TYK2,m07,m11,-0.5,0.22,-0.3,0.2
44,TYK2,m08,m01,-2.57,0.24,-1.79,0.78
45,TYK2,m08,m03,-0.86,0.24,-1.23,0.38
46,TYK2,m09,m15,-0.96,0.22,-0.22,0.74
47,TYK2,m10,m05,-2.11,0.24,-1.79,0.32
48,TYK2,m10,m15,-1.65,0.27,-2.36,0.71
49,TYK2,m13,m01,0.09,0.22,0.16,0.07
50,TYK2,m13,m05,0.04,0.22,0.49,0.44
51,TYK2,m14,m04,0.33,0.22,0.39,0.06
52,TYK2,m14,m05,1.77,0.23,2.49,0.72
53,TYK2,m14,m11,-0.67,0.24,0.42,1.09
54,TYK2,m15,m05,1.14,0.22,0.57,0.57
55,TYK2,m15,m12,0.53,0.22,0.78,0.25
56,TYK2,m15,m16,-0.12,0.22,-0.75,0.62
57,hif2a,m02,m03,-2.88,0.25,-1.42,1.46
58,hif2a,m02,m20,-0.23,0.22,-0.61,0.38
59,hif2a,m02,m21,-1.55,0.24,-1.9,0.35
60,hif2a,m02,m28,-2.47,0.23,-1.8,0.67
61,hif2a,m02,m41,-1.76,0.23,-1.58,0.18
62,hif2a,m03,m06,0.68,0.2,-1.2,1.88
63,hif2a,m03,m20,3.42,0.23,0.81,2.61
64,hif2a,m04,m14,0.38,0.24,-0.57,0.95
65,hif2a,m05,m23,-0.93,0.22,1.63,2.56
66,hif2a,m05,m32,3.96,0.22,2.99,0.97
67,hif2a,m05,m41,-0.78,0.23,0.28,1.06
68,hif2a,m06,m28,0.96,0.25,0.82,0.14
69,hif2a,m06,m30,0.75,0.23,1.33,0.58
70,hif2a,m06,m33,4.4,0.25,1.77,2.63
71,hif2a,m06,m39,0.07,0.24,0.28,0.21
72,hif2a,m07,m13,2.08,0.23,0.71,1.37
73,hif2a,m07,m18,0.3,0.24,-0.24,0.54
74,hif2a,m07,m33,1.75,0.26,0.0,1.75
75,hif2a,m08,m38,3.55,0.24,0.74,2.81
76,hif2a,m12,m16,1.56,0.22,-0.94,2.5
77,hif2a,m12,m17,2.38,0.24,0.5,1.88
78,hif2a,m12,m23,-0.5,0.23,0.8,1.3
79,hif2a,m12,m29,2.87,0.24,2.97,0.1
80,hif2a,m29,m40,-4.73,0.25,-3.36,1.37
81,hif2a,m32,m39,-5.67,0.18,-3.47,2.2
82,hif2a,m33,m37,-0.95,0.24,-0.15,0.8
83,hif2a,m34,m39,-1.64,0.22,-3.98,2.34
84,hif2a,m39,m41,0.56,0.27,0.76,0.2
85,p38,m2e,m2j,1.35,0.25,0.62,0.73
86,p38,m2g,m2c,1.77,0.23,0.2,1.57
87,p38,m2g,m2i,0.66,0.23,0.61,0.05
88,p38,m2j,m2h,-0.9,0.23,0.6,1.5
89,p38,m2j,m2r,-2.62,0.24,-0.71,1.91
90,p38,m2j,mff,-2.13,0.24,-1.36,0.77
91,p38,m2l,m2j,5.0,0.23,2.18,2.82
92,p38,m2l,m2o,3.19,0.24,1.77,1.42
93,p38,m2l,m2p,0.91,0.24,1.06,0.15
94,p38,m2t,m2j,1.07,0.23,1.77,0.7
95,p38,m2v,m2j,0.12,0.23,-1.11,1.23
96,p38,m2v,m2x,-1.92,0.23,-1.26,0.66
97,p38,m2v,m2y,-1.78,0.23,-0.8,0.98
98,p38,m2v,mln,-0.75,0.23,-1.91,1.16
99,p38,m2v,mly,-1.98,0.23,-2.45,0.47
100,p38,m2v,mmh,-1.11,0.24,-1.85,0.74
101,p38,m2v,mmk,-3.25,0.24,-2.86,0.39
102,p38,m2z,m2y,1.87,0.24,0.58,1.29
103,p38,m2z,mlq,0.7,0.24,0.43,0.27
104,p38,m2z,mlw,0.14,0.23,-0.32,0.46
105,p38,m2z,mmk,-1.39,0.24,-1.47,0.08
106,p38,maa,mbb,-1.19,0.24,0.2,1.39
107,p38,maa,mlw,-1.37,0.24,-1.41,0.04
108,p38,mgg,m2j,0.47,0.24,0.58,0.11
109,p38,mln,m2e,1.6,0.23,0.18,1.42
110,p38,mln,m2g,0.45,0.21,0.22,0.23
111,p38,mln,m2i,2.17,0.26,0.83,1.34
112,p38,mln,m2k,0.99,0.22,0.33,0.66
113,p38,mln,m2o,0.25,0.24,0.39,0.14
114,p38,mln,m2p,-0.54,0.24,-0.32,0.22
115,p38,mln,m2r,-1.93,0.23,0.09,2.02
116,p38,mln,m2t,-0.4,0.24,-0.97,0.57
117,p38,mln,mff,0.03,0.24,-0.56,0.59
118,p38,mln,mgg,-0.04,0.24,0.22,0.26
119,p38,mln,mlz,0.64,0.23,1.39,0.75
120,p38,mly,m2x,0.19,0.23,1.19,1.0
121,p38,mly,mlq,1.01,0.23,1.49,0.48
122,p38,mly,mmh,0.55,0.23,0.6,0.05
123,p38,mlz,m2c,0.71,0.22,-0.97,1.68
124,pfkfb3,m20,m42,-0.5,0.17,0.05,0.55
125,pfkfb3,m24,m34,-1.25,0.26,-1.1,0.15
126,pfkfb3,m24,m69,-0.42,0.25,-1.84,1.42
127,pfkfb3,m24,m70,-0.65,0.26,-1.43,0.78
128,pfkfb3,m26,m70,-2.05,0.18,-1.13,0.92
129,pfkfb3,m29,m54,0.79,0.18,1.47,0.68
130,pfkfb3,m29,m63,-1.42,0.17,1.08,2.5
131,pfkfb3,m29,m70,-3.92,0.2,-0.66,3.26
132,pfkfb3,m31,m19,1.6,0.23,1.73,0.13
133,pfkfb3,m35,m69,-1.57,0.17,-0.58,0.99
134,pfkfb3,m38,m26,1.75,0.18,-0.41,2.16
135,pfkfb3,m38,m39,1.46,0.21,1.56,0.1
136,pfkfb3,m38,m41,-0.04,0.17,1.37,1.41
137,pfkfb3,m47,m20,0.61,0.17,-0.18,0.79
138,pfkfb3,m47,m46,1.08,0.16,0.47,0.61
139,pfkfb3,m48,m20,-0.67,0.24,-0.51,0.16
140,pfkfb3,m48,m47,1.02,0.23,-0.33,1.35
141,pfkfb3,m49,m42,-2.14,0.24,-0.53,1.61
142,pfkfb3,m49,m58,0.13,0.23,-1.2,1.33
143,pfkfb3,m54,m70,-4.62,0.18,-2.12,2.5
144,pfkfb3,m56,m69,0.52,0.24,-0.15,0.67
145,pfkfb3,m57,m70,-1.6,0.17,0.17,1.77
146,pfkfb3,m58,m60,2.44,0.24,0.99,1.45
147,pfkfb3,m58,m63,1.68,0.22,0.57,1.11
148,pfkfb3,m59,m35,-3.85,0.23,-2.02,1.83
149,pfkfb3,m59,m47,0.56,0.23,-0.22,0.78
150,pfkfb3,m59,m52,-0.69,0.24,-2.28,1.59
151,pfkfb3,m62,m31,-3.87,0.25,-1.59,2.28
152,pfkfb3,m62,m70,-1.88,0.23,-2.61,0.73
153,pfkfb3,m65,m34,-2.41,0.24,-0.48,1.93
154,pfkfb3,m65,m63,-0.14,0.22,0.93,1.07
155,pfkfb3,m65,m64,-0.03,0.23,0.07,0.1
156,pfkfb3,m65,m70,-2.08,0.23,-0.82,1.26
157,pfkfb3,m67,m56,0.3,0.24,-0.32,0.62
158,pfkfb3,m67,m57,-0.22,0.24,-0.23,0.01
159,pfkfb3,m67,m64,2.51,0.24,0.82,1.69
160,syk,m02,m29,-1.03,0.23,0.19,1.22
161,syk,m02,m33,2.91,0.23,0.44,2.47
162,syk,m02,m35,0.89,0.23,-0.4,1.29
163,syk,m03,m09,-0.55,0.23,-0.35,0.2
164,syk,m03,m18,-2.49,0.23,-1.28,1.21
165,syk,m03,m19,-1.17,0.25,0.12,1.29
166,syk,m04,m01,-2.17,0.25,-1.94,0.23
167,syk,m04,m02,-0.06,0.22,-0.91,0.85
168,syk,m04,m31,-1.0,0.21,-1.09,0.09
169,syk,m04,m38,0.1,0.2,-0.82,0.92
170,syk,m04,m40,1.62,0.2,0.85,0.77
171,syk,m04,m42,-1.32,0.18,-2.01,0.69
172,syk,m05,m23,0.24,0.17,-0.7,0.94
173,syk,m05,m28,-0.61,0.24,-1.27,0.66
174,syk,m17,m18,-1.09,0.17,-0.7,0.39
175,syk,m17,m34,0.93,0.23,0.6,0.33
176,syk,m24,m25,-2.25,0.18,-0.71,1.54
177,syk,m30,m06,0.42,0.24,-1.2,1.62
178,syk,m30,m37,-1.12,0.26,-1.05,0.07
179,syk,m37,m01,2.83,0.25,-0.56,3.39
180,syk,m38,m06,0.22,0.22,-0.71,0.93
181,syk,m38,m21,-2.17,0.25,-0.52,1.65
182,syk,m38,m27,-0.32,0.22,0.52,0.84
183,syk,m38,m33,1.49,0.17,0.34,1.15
184,syk,m38,m41,1.41,0.16,-0.03,1.44
185,syk,m39,m06,0.37,0.17,-0.12,0.49
186,syk,m39,m07,-0.19,0.22,0.41,0.6
187,syk,m39,m24,2.14,0.17,-0.19,2.33
188,syk,m39,m25,-0.9,0.23,-0.9,0.0
189,syk,m39,m30,0.12,0.17,1.08,0.96
190,syk,m39,m35,1.36,0.16,0.1,1.26
191,syk,m39,m40,3.82,0.17,2.25,1.57
192,syk,m39,m42,-0.17,0.15,-0.6,0.43
193,syk,m42,m08,0.29,0.29,0.87,0.58
194,syk,m42,m19,0.74,0.17,0.12,0.62
195,syk,m42,m25,-2.61,0.17,-0.3,2.31
196,syk,m42,m28,0.75,0.15,-0.2,0.95
197,tnks2,m07,m3b,-1.34,0.15,-3.12,1.78
198,tnks2,m07,m5d,-0.87,0.16,-2.49,1.62
199,tnks2,m07,m5j,-3.31,0.17,-2.69,0.62
200,tnks2,m1a,m5d,-1.49,0.17,-2.33,0.84
201,tnks2,m1b,m1a,2.94,0.21,1.39,1.55
202,tnks2,m1b,m5c,-1.58,0.22,-0.02,1.56
203,tnks2,m1b,m5d,-1.63,0.22,-0.95,0.68
204,tnks2,m1b,m5h,-2.0,0.23,-0.11,1.89
205,tnks2,m1b,m5n,-0.86,0.23,-0.78,0.08
206,tnks2,m3a,m07,1.86,0.21,2.6,0.74
207,tnks2,m3a,m3b,-0.33,0.21,-0.52,0.19
208,tnks2,m3a,m5m,-0.95,0.22,-1.69,0.74
209,tnks2,m5a,m5c,-1.06,0.16,0.8,1.86
210,tnks2,m5a,m5d,0.57,0.15,-0.13,0.7
211,tnks2,m5a,m5j,-1.75,0.16,-0.33,1.42
212,tnks2,m5a,m5k,0.59,0.16,-0.2,0.79
213,tnks2,m5a,m5n,0.27,0.17,0.04,0.23
214,tnks2,m5b,m5j,-0.03,0.16,-0.61,0.58
215,tnks2,m5b,m5n,1.94,0.17,-0.24,2.18
216,tnks2,m5d,m5m,-1.12,0.17,-1.8,0.68
217,tnks2,m5e,m5a,-1.11,0.21,-0.65,0.46
218,tnks2,m5e,m5h,1.26,0.24,0.06,1.2
219,tnks2,m5e,m5i,-2.3,0.23,-1.97,0.33
220,tnks2,m5e,m5k,-0.42,0.22,-0.86,0.44
221,tnks2,m5e,m5n,0.71,0.24,-0.61,1.32
222,tnks2,m5e,m5p,-1.15,0.24,-0.4,0.75
223,tnks2,m5f,m5a,-0.04,0.21,-0.5,0.46
224,tnks2,m5f,m5i,-1.86,0.21,-1.82,0.04
225,tnks2,m5f,m5l,-0.66,0.21,0.17,0.83
226,tnks2,m5g,m5a,1.02,0.22,0.05,0.97
227,tnks2,m5g,m5b,-0.51,0.21,0.33,0.84
228,tnks2,m5g,m5d,0.71,0.22,-0.08,0.79
229,tnks2,m5g,m5h,2.35,0.22,0.76,1.59
230,tnks2,m5h,m5m,-2.34,0.16,-2.64,0.3
231,tnks2,m5i,m5a,1.25,0.22,1.32,0.07
232,tnks2,m5i,m5m,0.88,0.16,-0.61,1.49
233,tnks2,m5k,m5d,-0.25,0.16,0.08,0.33
234,tnks2,m5l,m5e,0.41,0.24,-0.02,0.43
235,tnks2,m5l,m5j,-0.69,0.22,-0.99,0.3
236,tnks2,m5l,m5p,2.5,0.24,-0.41,2.91
237,tnks2,m5p,m5n,0.19,0.17,-0.21,0.4
